Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Soil_Quality,Year,Month,Day,Temperature_orig,Humidity_orig,Wind_Speed_orig,Soil_Quality_orig
Tomato,Sandy,6.75,8,80,9,50.0,36.0,30.0,34,2022,12,3,8.429147836291046,80.0,9.475059979823753,33.83333333333333
Rice,Clay,6.25,28,72,12,78.0,60.0,44.0,53,2019,4,14,28.015734266615404,71.9842657333846,11.561564348977148,53.08333333333333
Soybean,Peaty,5.5,16,80,7,49.5,45.0,38.5,22,2020,4,19,15.943896412146003,80.0,6.820643373867258,22.166666666666668
Corn,Clay,6.25,26,74,5,72.0,55.00000000000001,40.0,49,2018,3,7,25.51877621511055,74.48122378488945,4.549329917709363,48.70833333333333
Cotton,Clay,6.25,18,80,11,66.0,55.00000000000001,48.0,49,2016,10,31,17.714735669123296,80.0,10.792753809724616,49.29166666666667
Tomato,Peaty,5.5,19,80,9,55.0,40.5,35.0,22,2019,10,24,19.02480585411487,80.0,8.637831708016364,21.75
Wheat,Peaty,5.5,20,80,9,60.50000000000001,45.0,31.5,23,2023,5,28,19.990133942768374,80.0,9.11692848369823,22.83333333333333
Sugarcane,Loamy,6.5,29,71,15,91.0,72.0,60.0,74,2021,4,23,28.65355958749332,71.34644041250668,15.103261269966891,74.33333333333333
Tomato,Loamy,6.5,5,80,6,70.0,54.0,50.0,58,2021,12,27,5.462653564678396,80.0,5.928223345111316,58.0
Cotton,Peaty,5.5,16,80,11,60.50000000000001,49.50000000000001,42.0,25,2016,1,1,15.929806267803992,80.0,11.135558368727162,25.33333333333333
Corn,Saline,8.0,21,79,10,78.0,60.50000000000001,45.0,15,2021,4,1,20.928553010856,79.07144698914401,9.789896006095168,15.291666666666666
Corn,Saline,8.0,7,80,13,78.0,60.50000000000001,45.0,15,2023,12,23,7.443968404923957,80.0,12.827243353269964,15.291666666666666
Corn,Saline,8.0,32,68,8,78.0,60.50000000000001,45.0,15,2016,7,3,32.484944201666686,67.51505579833332,7.730340237858437,15.291666666666666
Sugarcane,Peaty,5.5,20,80,16,71.5,54.0,42.0,28,2018,11,12,19.629852415240578,80.0,16.107059285564414,27.916666666666668
Rice,Clay,6.25,24,76,8,78.0,60.0,44.0,53,2023,10,25,24.33096281918512,75.66903718081488,7.714109880527879,53.08333333333333
Soybean,Peaty,5.5,9,80,11,49.5,45.0,38.5,22,2014,1,8,9.082134160277311,80.0,10.686911296691314,22.166666666666668
Rice,Peaty,5.5,10,80,7,71.5,54.0,38.5,27,2016,1,18,9.788448836563752,80.0,6.588266413356118,27.33333333333333
Wheat,Peaty,5.5,15,80,12,60.50000000000001,45.0,31.5,23,2021,11,5,15.08192066385678,80.0,11.594184000853115,22.83333333333333
Sunflower,Sandy,6.75,13,80,9,50.0,44.0,33.0,37,2019,1,26,13.253683963790737,80.0,8.89251452273895,37.04166666666667
Barley,Loamy,6.5,24,76,12,70.0,60.0,50.0,60,2015,4,28,23.80328243259399,76.19671756740601,12.14231779703745,60.0
Sugarcane,Saline,8.0,19,80,11,84.5,66.0,54.0,17,2019,12,20,19.35963119893236,80.0,11.228287178310042,17.041666666666668
Barley,Sandy,6.75,23,77,7,50.0,40.0,30.0,35,2023,5,21,23.32264980316445,76.67735019683555,7.018232455325722,35.0
Rice,Sandy,6.75,13,80,14,65.0,48.0,33.0,43,2017,1,1,13.43335125977212,80.0,13.973657462013108,42.58333333333333
Tomato,Sandy,6.75,16,80,9,50.0,36.0,30.0,34,2018,2,10,16.376790549096253,80.0,9.200698689055812,33.83333333333333
Soybean,Sandy,6.75,12,80,9,45.0,40.0,33.0,34,2015,12,19,12.188934281740076,80.0,8.95244099059877,34.41666666666667
Tomato,Sandy,6.75,19,80,9,50.0,36.0,30.0,34,2019,1,16,19.118983393918743,80.0,8.962549953734937,33.83333333333333
Tomato,Loamy,6.5,19,80,11,70.0,54.0,50.0,58,2022,10,31,18.7496923507038,80.0,11.245138611861966,58.0
Rice,Loamy,6.5,22,78,16,91.0,72.0,55.00000000000001,73,2021,10,10,22.38733747256451,77.61266252743549,16.151947035932558,72.66666666666667
Corn,Sandy,6.75,37,63,10,60.0,44.0,30.0,39,2019,6,8,36.79500982179761,63.20499017820239,10.351432169227577,39.08333333333333
Tomato,Loamy,6.5,18,80,8,70.0,54.0,50.0,58,2022,12,26,18.1580635085866,80.0,8.371482452429278,58.0
Tomato,Loamy,6.5,27,73,16,70.0,54.0,50.0,58,2016,6,20,27.17356119847428,72.82643880152573,15.526366323665176,58.0
Sunflower,Clay,6.25,9,80,7,60.0,55.00000000000001,44.0,46,2019,1,25,8.669720370329774,80.0,6.919857395401979,46.375
Barley,Loamy,6.5,10,80,18,70.0,60.0,50.0,60,2020,12,22,9.843041522673165,80.0,17.62184046216753,60.0
Corn,Saline,8.0,14,80,8,78.0,60.50000000000001,45.0,15,2016,10,12,13.692913441061258,80.0,7.7314377949859505,15.291666666666666
Rice,Clay,6.25,15,80,9,78.0,60.0,44.0,53,2022,1,10,15.043812853484136,80.0,9.31993402834816,53.08333333333333
Soybean,Loamy,6.5,23,77,12,63.0,60.0,55.00000000000001,59,2020,11,15,23.364522973158632,76.63547702684137,11.662975376614996,59.333333333333336
Rice,Loamy,6.5,8,80,6,91.0,72.0,55.00000000000001,73,2022,1,23,8.130175347609594,80.0,5.612593914454262,72.66666666666667
Cotton,Loamy,6.5,21,79,15,77.0,66.0,60.0,68,2018,2,15,20.62909771768988,79.37090228231013,14.791404226616388,67.66666666666667
Cotton,Loamy,6.5,29,71,9,77.0,66.0,60.0,68,2019,3,2,29.46783062324229,70.53216937675771,9.191774453930712,67.66666666666667
Cotton,Sandy,6.75,17,80,8,55.00000000000001,44.0,36.0,39,2016,2,26,17.089340780693732,80.0,7.599960728923323,39.375
Sunflower,Saline,8.0,19,80,10,65.0,60.50000000000001,49.50000000000001,15,2015,11,15,18.57138177062364,80.0,10.338631897791505,14.583333333333334
Soybean,Peaty,5.5,36,64,12,49.5,45.0,38.5,22,2016,6,20,35.75073330669051,64.2492666933095,11.686308520098972,22.166666666666668
Sugarcane,Loamy,6.5,36,64,11,91.0,72.0,60.0,74,2016,5,3,35.96484488030869,64.03515511969131,10.90954676284992,74.33333333333333
Soybean,Sandy,6.75,24,76,8,45.0,40.0,33.0,34,2019,5,16,24.19632379333112,75.80367620666888,8.418590368377247,34.41666666666667
Sugarcane,Peaty,5.5,22,78,8,71.5,54.0,42.0,28,2018,3,18,22.0322144052366,77.9677855947634,7.886424470543128,27.916666666666668
Sugarcane,Peaty,5.5,34,66,16,71.5,54.0,42.0,28,2021,8,4,34.38296776348107,65.61703223651892,15.782919787867598,27.916666666666668
Rice,Saline,8.0,26,74,13,84.5,66.0,49.50000000000001,17,2023,8,20,25.85327138610993,74.14672861389008,12.805311206374617,16.666666666666668
Sugarcane,Sandy,6.75,22,78,11,65.0,48.0,36.0,43,2022,11,1,21.62140292832479,78.37859707167522,10.998778354317276,43.45833333333333
Rice,Peaty,5.5,32,68,5,71.5,54.0,38.5,27,2022,5,21,31.97817045926025,68.02182954073974,4.998196814653903,27.33333333333333
Soybean,Sandy,6.75,39,61,10,45.0,40.0,33.0,34,2017,8,22,39.17782512783019,60.82217487216981,9.689246234536949,34.41666666666667
Rice,Loamy,6.5,31,69,4,91.0,72.0,55.00000000000001,73,2015,7,13,30.909328891811622,69.09067110818837,3.90010266687962,72.66666666666667
Rice,Saline,8.0,25,75,6,84.5,66.0,49.50000000000001,17,2022,3,11,25.125460368182942,74.87453963181706,5.785681634992892,16.666666666666668
Potato,Saline,8.0,17,80,9,71.5,55.0,40.5,14,2022,2,23,17.186349667264825,80.0,8.588765700311782,13.916666666666666
Rice,Clay,6.25,22,78,3,78.0,60.0,44.0,53,2015,11,21,22.149619233498985,77.85038076650102,3.305203814807747,53.08333333333333
Barley,Sandy,6.75,26,74,13,50.0,40.0,30.0,35,2021,4,9,26.175031711000464,73.82496828899954,13.354068382598186,35.0
Cotton,Loamy,6.5,24,76,15,77.0,66.0,60.0,68,2016,10,11,23.69207553939077,76.30792446060923,14.853341891489018,67.66666666666667
Sunflower,Saline,8.0,25,75,12,65.0,60.50000000000001,49.50000000000001,15,2020,4,13,25.014963359869103,74.9850366401309,11.853493438311826,14.583333333333334
Cotton,Saline,8.0,15,80,11,71.5,60.50000000000001,54.0,16,2017,1,21,14.928149371345889,80.0,11.452666942538215,15.5
Barley,Sandy,6.75,19,80,15,50.0,40.0,30.0,35,2019,10,5,19.30826387950732,80.0,14.744119352328832,35.0
Sunflower,Sandy,6.75,13,80,5,50.0,44.0,33.0,37,2019,11,15,12.949344654116832,80.0,4.9236896381047455,37.04166666666667
Cotton,Loamy,6.5,27,73,13,77.0,66.0,60.0,68,2016,10,12,26.785704507490728,73.21429549250928,12.765787451067329,67.66666666666667
Tomato,Clay,6.25,11,80,4,60.0,45.0,40.0,42,2017,9,28,11.069974960052711,80.0,4.289552060089891,42.29166666666667
Rice,Loamy,6.5,28,72,12,91.0,72.0,55.00000000000001,73,2015,11,13,28.35838303319692,71.64161696680307,11.899709766375857,72.66666666666667
Tomato,Loamy,6.5,25,75,7,70.0,54.0,50.0,58,2017,2,5,25.20819108316776,74.79180891683224,7.05204522121422,58.0
Wheat,Peaty,5.5,22,78,12,60.50000000000001,45.0,31.5,23,2018,11,9,21.75575540534976,78.24424459465024,12.38181397658512,22.83333333333333
Soybean,Loamy,6.5,31,69,16,63.0,60.0,55.00000000000001,59,2022,5,21,31.367425255887174,68.63257474411283,16.489142836798703,59.333333333333336
Cotton,Loamy,6.5,28,72,8,77.0,66.0,60.0,68,2021,3,25,27.5661807991166,72.43381920088339,7.825894637414363,67.66666666666667
Soybean,Saline,8.0,33,67,12,58.5,55.0,49.50000000000001,14,2014,6,18,32.824598873349906,67.17540112665009,12.31900278813816,13.583333333333334
Wheat,Saline,8.0,20,80,16,71.5,55.0,40.5,14,2021,9,25,20.040171562525018,79.95982843747498,15.74597782192691,13.916666666666666
Sugarcane,Loamy,6.5,7,80,17,91.0,72.0,60.0,74,2018,12,15,7.397424100618014,80.0,16.771405237233722,74.33333333333333
Rice,Peaty,5.5,16,80,12,71.5,54.0,38.5,27,2014,9,16,15.566876939243707,80.0,12.250017083811043,27.33333333333333
Cotton,Saline,8.0,14,80,12,71.5,60.50000000000001,54.0,16,2019,12,19,13.668144750350642,80.0,11.619559905382292,15.5
Potato,Saline,8.0,7,80,6,71.5,55.0,40.5,14,2016,1,12,6.772227735533313,80.0,6.01143712504548,13.916666666666666
Tomato,Clay,6.25,12,80,15,60.0,45.0,40.0,42,2015,1,26,12.159992207949989,80.0,14.524248550432064,42.29166666666667
Corn,Saline,8.0,13,80,8,78.0,60.50000000000001,45.0,15,2020,1,29,12.556831453156136,80.0,8.221924118386491,15.291666666666666
Corn,Clay,6.25,11,80,9,72.0,55.00000000000001,40.0,49,2019,5,16,10.851233094267467,80.0,8.945845515885193,48.70833333333333
Cotton,Sandy,6.75,33,67,16,55.00000000000001,44.0,36.0,39,2023,7,7,32.66553585759477,67.33446414240524,16.223217926957822,39.375
Barley,Peaty,5.5,21,79,7,55.0,45.0,35.0,22,2015,1,6,21.431260432274293,78.56873956772571,7.461168823372967,22.5
Potato,Clay,6.25,30,70,14,66.0,50.0,36.0,44,2021,5,18,30.176219287492373,69.82378071250763,14.210337212398176,44.33333333333333
Sugarcane,Sandy,6.75,38,62,7,65.0,48.0,36.0,43,2021,6,9,37.81888439754008,62.181115602459926,6.84184452651423,43.45833333333333
Rice,Loamy,6.5,40,60,14,91.0,72.0,55.00000000000001,73,2023,6,11,39.90873161595257,60.09126838404743,14.378603605116972,72.66666666666667
Tomato,Peaty,5.5,15,80,8,55.0,40.5,35.0,22,2021,1,21,15.429344547294177,80.0,7.547162066634495,21.75
Wheat,Peaty,5.5,24,76,14,60.50000000000001,45.0,31.5,23,2017,10,6,24.25079220404344,75.74920779595655,13.806553485477613,22.83333333333333
Cotton,Sandy,6.75,42,58,7,55.00000000000001,44.0,36.0,39,2021,6,19,41.819906077858576,58.180093922141424,6.8507272334811855,39.375
Sugarcane,Saline,8.0,27,73,16,84.5,66.0,54.0,17,2023,3,29,27.132908466628813,72.8670915333712,16.244002807868235,17.041666666666668
Wheat,Saline,8.0,38,62,6,71.5,55.0,40.5,14,2018,6,1,38.09763004089584,61.90236995910416,5.960212390982496,13.916666666666666
Rice,Sandy,6.75,30,70,8,65.0,48.0,33.0,43,2017,11,23,29.91285274469596,70.08714725530405,8.014075933219464,42.58333333333333
Rice,Peaty,5.5,32,68,9,71.5,54.0,38.5,27,2023,7,2,31.68286575945542,68.31713424054458,8.634460538502744,27.33333333333333
Cotton,Sandy,6.75,12,80,11,55.00000000000001,44.0,36.0,39,2014,1,14,11.89818138732224,80.0,10.534385277283194,39.375
Corn,Loamy,6.5,26,74,7,84.0,66.0,50.0,67,2020,9,26,26.17625089336535,73.82374910663465,6.71390050131757,66.66666666666667
Sugarcane,Peaty,5.5,18,80,13,71.5,54.0,42.0,28,2019,1,18,18.38671033406156,80.0,13.370114123422232,27.916666666666668
Soybean,Sandy,6.75,30,70,9,45.0,40.0,33.0,34,2023,12,21,30.20702737450185,69.79297262549815,9.18625973582112,34.41666666666667
Cotton,Peaty,5.5,21,79,7,60.50000000000001,49.50000000000001,42.0,25,2022,10,15,21.189081682300348,78.81091831769965,7.065774772563035,25.33333333333333
Rice,Loamy,6.5,15,80,10,91.0,72.0,55.00000000000001,73,2018,12,22,15.06168455598454,80.0,10.228326011400238,72.66666666666667
Rice,Loamy,6.5,37,63,3,91.0,72.0,55.00000000000001,73,2017,5,22,37.30524890307059,62.69475109692941,3.409792719248601,72.66666666666667
Cotton,Sandy,6.75,21,79,10,55.00000000000001,44.0,36.0,39,2018,2,6,20.60715355469215,79.39284644530785,9.717555023650236,39.375
Sunflower,Peaty,5.5,35,65,14,55.0,49.50000000000001,38.5,24,2017,8,30,35.49105886708337,64.50894113291663,13.868773815211473,23.83333333333333
Soybean,Loamy,6.5,21,79,10,63.0,60.0,55.00000000000001,59,2021,10,10,20.709759293917887,79.29024070608212,9.74480670029061,59.333333333333336
Sunflower,Loamy,6.5,37,63,12,70.0,66.0,55.00000000000001,64,2019,7,20,37.27843282572858,62.72156717427142,11.553443833726504,63.66666666666666
Wheat,Clay,6.25,18,80,10,66.0,50.0,36.0,44,2019,11,4,17.871704848539846,80.0,10.403372852689516,44.33333333333333
Sunflower,Clay,6.25,18,80,10,60.0,55.00000000000001,44.0,46,2016,12,28,17.646875110218918,80.0,9.881427356963185,46.375
Cotton,Peaty,5.5,21,79,8,60.50000000000001,49.50000000000001,42.0,25,2021,4,20,21.04669667698382,78.95330332301617,8.4933311049444,25.33333333333333
Sunflower,Loamy,6.5,41,59,9,70.0,66.0,55.00000000000001,64,2015,8,3,41.30504495395923,58.69495504604077,8.937439314970533,63.66666666666666
Barley,Peaty,5.5,16,80,8,55.0,45.0,35.0,22,2016,10,29,16.081533057894426,80.0,7.953727563786937,22.5
Sunflower,Sandy,6.75,43,57,13,50.0,44.0,33.0,37,2017,7,9,43.20739684056571,56.79260315943429,12.90722773423521,37.04166666666667
Cotton,Sandy,6.75,45,55,3,55.00000000000001,44.0,36.0,39,2020,8,6,45.38350432154325,54.61649567845675,3.147948772404763,39.375
Sugarcane,Peaty,5.5,19,80,10,71.5,54.0,42.0,28,2014,9,6,19.08229838991767,80.0,9.655147205524472,27.916666666666668
Potato,Clay,6.25,20,80,15,66.0,50.0,36.0,44,2016,4,17,19.611755654714315,80.0,15.303513939306786,44.33333333333333
Sunflower,Peaty,5.5,35,65,8,55.0,49.50000000000001,38.5,24,2016,7,5,34.538554805418016,65.46144519458198,7.74949412613232,23.83333333333333
Barley,Loamy,6.5,21,79,12,70.0,60.0,50.0,60,2019,2,11,20.98646415343674,79.01353584656326,11.542785098767446,60.0
Tomato,Sandy,6.75,16,80,8,50.0,36.0,30.0,34,2018,1,5,16.251992906467983,80.0,7.632160325417677,33.83333333333333
Sunflower,Peaty,5.5,29,71,14,55.0,49.50000000000001,38.5,24,2022,7,16,29.2357540179778,70.7642459820222,13.685836743803735,23.83333333333333
Rice,Loamy,6.5,11,80,8,91.0,72.0,55.00000000000001,73,2021,12,18,10.711463216689218,80.0,8.08530090848093,72.66666666666667
Barley,Sandy,6.75,19,80,9,50.0,40.0,30.0,35,2022,1,5,19.49653995003421,80.0,8.516605756258208,35.0
Sugarcane,Peaty,5.5,29,71,14,71.5,54.0,42.0,28,2022,8,1,28.979417387093687,71.02058261290631,13.640333630217023,27.916666666666668
Soybean,Loamy,6.5,34,66,5,63.0,60.0,55.00000000000001,59,2015,5,25,34.465180727017604,65.53481927298239,4.884973681784622,59.333333333333336
Tomato,Saline,8.0,10,80,14,65.0,49.5,45.0,13,2022,1,6,10.218493139206904,80.0,13.872814396779312,13.291666666666666
Sugarcane,Clay,6.25,13,80,9,78.0,60.0,48.0,54,2015,9,16,13.26695686555297,80.0,8.678739617276968,54.25
Soybean,Saline,8.0,30,70,10,58.5,55.0,49.50000000000001,14,2019,11,7,30.15812222102287,69.84187777897714,9.642966910395383,13.583333333333334
Wheat,Saline,8.0,23,77,12,71.5,55.0,40.5,14,2014,3,25,22.744205707955008,77.255794292045,11.65522239973276,13.916666666666666
Wheat,Clay,6.25,15,80,13,66.0,50.0,36.0,44,2021,9,22,15.391649615324493,80.0,12.62543274489134,44.33333333333333
Tomato,Clay,6.25,42,58,6,60.0,45.0,40.0,42,2020,6,9,42.40287538782638,57.59712461217362,6.009581785793455,42.29166666666667
Rice,Saline,8.0,23,77,6,84.5,66.0,49.50000000000001,17,2022,5,24,22.595551575805747,77.40444842419426,6.391178726256402,16.666666666666668
Corn,Peaty,5.5,32,68,13,66.0,49.50000000000001,35.0,25,2022,8,11,31.719149025776627,68.28085097422337,12.746058316763424,25.08333333333333
Wheat,Saline,8.0,22,78,6,71.5,55.0,40.5,14,2022,3,2,21.721133868402443,78.27886613159755,5.664171940581763,13.916666666666666
Sunflower,Loamy,6.5,20,80,13,70.0,66.0,55.00000000000001,64,2022,1,27,19.80563958130819,80.0,13.493734804655965,63.66666666666666
Tomato,Peaty,5.5,16,80,5,55.0,40.5,35.0,22,2023,1,8,16.243166271911065,80.0,5.38531762378059,21.75
Corn,Saline,8.0,24,76,14,78.0,60.50000000000001,45.0,15,2018,9,15,24.120143457656447,75.87985654234356,14.28142543485669,15.291666666666666
Cotton,Peaty,5.5,33,67,14,60.50000000000001,49.50000000000001,42.0,25,2015,6,15,33.31238164321525,66.68761835678475,14.27960846321992,25.33333333333333
Tomato,Clay,6.25,20,80,11,60.0,45.0,40.0,42,2014,3,25,19.54194402685896,80.0,11.209901170735844,42.29166666666667
Corn,Loamy,6.5,44,56,11,84.0,66.0,50.0,67,2019,7,25,44.03531409932408,55.96468590067592,11.48463478369339,66.66666666666667
Sunflower,Peaty,5.5,26,74,12,55.0,49.50000000000001,38.5,24,2015,5,20,25.822090935625383,74.17790906437462,11.95922878101138,23.83333333333333
Cotton,Loamy,6.5,40,60,13,77.0,66.0,60.0,68,2020,7,29,40.30497218740537,59.69502781259463,13.317207754743142,67.66666666666667
Rice,Saline,8.0,23,77,15,84.5,66.0,49.50000000000001,17,2020,11,21,22.664894853648576,77.33510514635142,14.748243589121888,16.666666666666668
Tomato,Loamy,6.5,22,78,15,70.0,54.0,50.0,58,2021,5,28,22.19644592659399,77.803554073406,14.75999332809262,58.0
Tomato,Sandy,6.75,29,71,7,50.0,36.0,30.0,34,2018,4,2,28.60417541960816,71.39582458039185,7.440626538958977,33.83333333333333
Corn,Sandy,6.75,20,80,8,60.0,44.0,30.0,39,2015,10,20,19.69796933891932,80.0,8.494375596176358,39.08333333333333
Sugarcane,Saline,8.0,35,65,10,84.5,66.0,54.0,17,2018,6,28,34.74800323803341,65.25199676196658,9.820623981941102,17.041666666666668
Rice,Sandy,6.75,15,80,12,65.0,48.0,33.0,43,2015,12,16,14.995234330433693,80.0,11.817304532295434,42.58333333333333
Wheat,Saline,8.0,20,80,12,71.5,55.0,40.5,14,2017,5,29,19.509393294896924,80.0,12.066021269723176,13.916666666666666
Sunflower,Sandy,6.75,16,80,9,50.0,44.0,33.0,37,2019,3,8,15.771580353074995,80.0,8.631642645744144,37.04166666666667
Barley,Peaty,5.5,34,66,9,55.0,45.0,35.0,22,2017,6,15,33.922214732241194,66.0777852677588,9.300492673730066,22.5
Sunflower,Peaty,5.5,34,66,9,55.0,49.50000000000001,38.5,24,2021,6,13,34.08443897927596,65.91556102072404,8.853059340215708,23.83333333333333
Potato,Sandy,6.75,16,80,12,55.00000000000001,40.0,27.0,36,2023,5,23,16.370330965396228,80.0,12.409123020469371,35.58333333333333
Cotton,Sandy,6.75,24,76,6,55.00000000000001,44.0,36.0,39,2018,5,20,24.129552355607355,75.87044764439264,6.316338737219583,39.375
Tomato,Loamy,6.5,35,65,10,70.0,54.0,50.0,58,2015,7,9,35.42719342609955,64.57280657390045,10.454247723613577,58.0
Corn,Sandy,6.75,20,80,6,60.0,44.0,30.0,39,2019,11,5,19.580920834902628,80.0,6.463814644199245,39.08333333333333
Potato,Peaty,5.5,35,65,5,60.50000000000001,45.0,31.5,23,2021,8,31,34.9022404798672,65.0977595201328,5.12195045134078,22.83333333333333
Rice,Sandy,6.75,22,78,10,65.0,48.0,33.0,43,2014,11,25,21.90675790577458,78.09324209422542,10.123638325084006,42.58333333333333
Potato,Sandy,6.75,14,80,9,55.00000000000001,40.0,27.0,36,2023,1,31,13.539012786620177,80.0,9.016857654829984,35.58333333333333
Wheat,Clay,6.25,22,78,11,66.0,50.0,36.0,44,2023,1,6,22.373033539552186,77.62696646044782,11.343417881952831,44.33333333333333
Soybean,Sandy,6.75,10,80,11,45.0,40.0,33.0,34,2019,11,25,10.21348135779496,80.0,11.018190725317186,34.41666666666667
Corn,Loamy,6.5,26,74,5,84.0,66.0,50.0,67,2016,9,12,26.11479248398645,73.88520751601355,4.695031588235701,66.66666666666667
Tomato,Peaty,5.5,16,80,12,55.0,40.5,35.0,22,2018,4,10,15.763839112838015,80.0,12.0845115556715,21.75
Wheat,Sandy,6.75,32,68,5,55.00000000000001,40.0,27.0,36,2018,5,4,32.09245553226347,67.90754446773653,4.9114542583764695,35.58333333333333
Potato,Clay,6.25,21,79,7,66.0,50.0,36.0,44,2023,1,1,21.256140642452745,78.74385935754725,6.909629751219678,44.33333333333333
Sunflower,Sandy,6.75,36,64,12,50.0,44.0,33.0,37,2018,6,7,35.637461384513,64.36253861548701,12.034435741153745,37.04166666666667
Rice,Peaty,5.5,11,80,10,71.5,54.0,38.5,27,2021,9,30,10.862859811782636,80.0,9.802980697149126,27.33333333333333
Sunflower,Saline,8.0,13,80,9,65.0,60.50000000000001,49.50000000000001,15,2023,2,19,13.169716719176854,80.0,9.206653320131366,14.583333333333334
Sunflower,Sandy,6.75,21,79,10,50.0,44.0,33.0,37,2015,4,8,20.584344733706075,79.41565526629392,10.3535329784239,37.04166666666667
Soybean,Peaty,5.5,27,73,11,49.5,45.0,38.5,22,2014,3,2,27.239308738758968,72.76069126124104,11.113282153941766,22.166666666666668
Cotton,Saline,8.0,18,80,10,71.5,60.50000000000001,54.0,16,2016,10,4,18.20190870376067,80.0,10.47688205833739,15.5
Sugarcane,Loamy,6.5,21,79,8,91.0,72.0,60.0,74,2023,11,16,20.86981765214576,79.13018234785424,7.658989545529129,74.33333333333333
Potato,Sandy,6.75,17,80,15,55.00000000000001,40.0,27.0,36,2016,9,22,17.47734347706737,80.0,14.734036462657247,35.58333333333333
Soybean,Sandy,6.75,17,80,15,45.0,40.0,33.0,34,2021,11,23,16.78189221204917,80.0,14.570199350544344,34.41666666666667
Soybean,Peaty,5.5,29,71,13,49.5,45.0,38.5,22,2015,4,26,29.426191528700947,70.57380847129906,12.81288924154144,22.166666666666668
Wheat,Clay,6.25,22,78,12,66.0,50.0,36.0,44,2022,2,25,22.27812745578967,77.72187254421033,12.402817118673028,44.33333333333333
Tomato,Saline,8.0,11,80,10,65.0,49.5,45.0,13,2019,9,20,11.466566995907174,80.0,10.198708894151348,13.291666666666666
Sunflower,Loamy,6.5,20,80,7,70.0,66.0,55.00000000000001,64,2018,9,28,19.81540503365694,80.0,6.890599255915607,63.66666666666666
